FrameID,ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
274,0,"(408, 63)","(467, 59)","(472, 119)","(415, 123)",2.0941084750020877,-4.053864371257945
275,0,"(412, 31)","(470, 27)","(473, 86)","(415, 90)",2.0859002832852562,-2.792108618905973
288,0,"(228, 27)","(288, 23)","(294, 83)","(236, 87)",2.2457212809490588,-4.5430672289224825
289,0,"(122, 12)","(187, 8)","(195, 68)","(131, 74)",2.263666386495139,-7.515515190014594
309,0,"(681, 56)","(746, 55)","(745, 118)","(681, 117)",1.849201978348944,0.7722887971231772
317,1,"(615, 84)","(640, 88)","(637, 114)","(611, 112)",4.494346782467603,1.8004741718880388
318,1,"(672, 99)","(698, 103)","(694, 129)","(669, 126)",4.546286272567134,8.649632643617132
319,1,"(702, 120)","(727, 122)","(724, 149)","(698, 146)",4.511800054860805,8.961531466543525
320,1,"(705, 120)","(732, 123)","(728, 151)","(702, 151)",4.06312841666107,-2.1158425686616056
321,1,"(712, 116)","(740, 118)","(736, 147)","(708, 144)",4.137503984077881,8.58533621323114
322,1,"(737, 115)","(765, 116)","(762, 145)","(735, 143)",4.276120860021226,6.996475906816464
323,1,"(752, 111)","(781, 113)","(778, 142)","(750, 141)",4.148184459097254,3.079391368781049
324,1,"(725, 92)","(752, 93)","(750, 123)","(721, 123)",4.227174989937494,1.1535571298792477
325,1,"(688, 106)","(714, 107)","(712, 136)","(684, 136)",4.348635409595063,0.6974018877515875
326,1,"(658, 88)","(686, 90)","(684, 121)","(656, 119)",3.9766425967321593,-1.4204802505008227
327,1,"(657, 92)","(686, 94)","(683, 124)","(654, 123)",3.9496915580271903,-0.6076716277019387
328,1,"(669, 80)","(699, 82)","(696, 114)","(667, 113)",3.8074892796203477,-2.2181276555217
329,1,"(663, 75)","(694, 77)","(691, 109)","(661, 108)",3.802228983331953,-0.2812358489812374
330,1,"(643, 73)","(674, 76)","(671, 109)","(640, 107)",3.700006060525147,0.173734252535933
331,1,"(664, 73)","(696, 76)","(693, 108)","(661, 107)",3.67493443678953,1.970483286111635
332,1,"(676, 75)","(709, 78)","(704, 113)","(673, 111)",3.4812945398554187,-1.206960875996769
333,1,"(674, 83)","(707, 85)","(704, 121)","(671, 119)",3.5134694528956674,4.35081879969366
334,1,"(663, 73)","(697, 75)","(695, 112)","(660, 110)",3.3650750007806156,0.6082915897162876
335,1,"(648, 99)","(684, 100)","(682, 139)","(647, 138)",3.240978100645375,-0.14340862318464379
336,1,"(676, 98)","(714, 99)","(712, 137)","(674, 137)",3.081307689668849,3.093524621471218
337,1,"(676, 98)","(714, 99)","(712, 137)","(674, 137)",3.081307689668849,3.093524621471218
338,1,"(703, 120)","(742, 124)","(739, 165)","(700, 163)",2.857506696342879,0.911830344063954
339,1,"(713, 117)","(755, 120)","(752, 163)","(710, 161)",2.75991778524581,2.576633341312529
340,1,"(732, 109)","(777, 111)","(773, 157)","(730, 155)",2.644523571212922,7.448655343702199
341,1,"(732, 122)","(777, 124)","(774, 171)","(730, 169)",2.56516447408546,0.6473104140786381
342,1,"(759, 103)","(807, 104)","(805, 156)","(757, 155)",2.3587839057598528,-1.517017152747969
343,1,"(769, 123)","(820, 125)","(819, 175)","(768, 176)",2.3069893152981944,0.4569212947234064
344,1,"(806, 102)","(862, 102)","(862, 160)","(806, 160)",2.095484799986366,-1.1030798841006038
345,1,"(848, 125)","(907, 127)","(907, 189)","(847, 187)",1.943247038734527,0.31219624993994105
365,3,"(487, 122)","(503, 123)","(502, 139)","(486, 139)",7.17118866842501,-6.33533282149842
366,3,"(492, 123)","(509, 124)","(508, 140)","(492, 139)",7.247485673676186,-0.26660265092942936
369,3,"(503, 158)","(521, 159)","(521, 177)","(503, 179)",6.0549147643277275,-9.7048546150226
370,3,"(486, 153)","(504, 152)","(505, 170)","(487, 173)",6.132031650810276,-14.391981641018136
371,3,"(495, 170)","(513, 170)","(512, 189)","(496, 189)",6.867396620373854,-3.4239288039608318
373,3,"(542, 145)","(561, 146)","(559, 166)","(541, 165)",5.913803211480318,-4.127927665903673
374,3,"(544, 159)","(564, 161)","(563, 180)","(544, 180)",5.917836908388064,-0.7250396835303707
375,3,"(547, 169)","(567, 168)","(567, 190)","(548, 191)",5.3491131077609175,-10.569688983279455
377,3,"(527, 150)","(549, 151)","(548, 173)","(528, 173)",5.314393277081342,-5.121559159928738
378,3,"(504, 133)","(526, 132)","(527, 155)","(506, 156)",5.270828351175722,-9.603742528661535
379,3,"(512, 165)","(535, 164)","(536, 188)","(514, 190)",4.8329926888791475,-11.008983013401043
380,3,"(523, 176)","(547, 175)","(548, 197)","(525, 200)",4.876361336046899,-8.183743687152532
381,3,"(542, 135)","(567, 135)","(566, 159)","(542, 159)",4.733537094878193,-3.6233695494074287
382,3,"(560, 151)","(585, 151)","(585, 177)","(561, 177)",4.7255970838886965,-0.5670013984322607
383,3,"(562, 155)","(587, 154)","(588, 181)","(563, 182)",4.393038163148644,1.165705148020686
384,3,"(554, 162)","(580, 161)","(580, 187)","(554, 188)",4.368037252781163,-0.7131974505716244
386,3,"(551, 148)","(578, 148)","(577, 177)","(551, 177)",4.090540880401832,-6.83143433234894
387,3,"(552, 140)","(580, 140)","(580, 169)","(553, 170)",4.047670875098185,-6.860038668824593
388,3,"(562, 135)","(591, 134)","(592, 164)","(563, 166)",3.892475557792756,-7.614196943589857
389,3,"(573, 149)","(603, 147)","(605, 177)","(575, 180)",3.809315313785169,-7.325955812267285
390,3,"(604, 117)","(635, 117)","(635, 149)","(604, 150)",3.6943442289598716,-4.240524893455858
391,3,"(629, 126)","(662, 126)","(664, 160)","(630, 160)",3.4091390159088797,-2.4946528255855203
392,3,"(665, 144)","(699, 142)","(700, 178)","(666, 179)",3.348568393831933,0.8803504151369175
393,3,"(675, 140)","(711, 137)","(711, 175)","(676, 176)",3.199238059574411,0.922677238191859
394,3,"(688, 105)","(724, 104)","(725, 143)","(689, 145)",3.084778206682597,-6.332397432282634
