ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
0,"(426, 65)","(486, 61)","(492, 124)","(432, 128)",1.9923492826199845,-3.232994581334131
0,"(430, 31)","(489, 28)","(493, 89)","(433, 94)",2.013450008806909,-2.3435505421403113
0,"(238, 28)","(300, 24)","(306, 86)","(246, 91)",2.1407959185023575,-4.4158354328389455
0,"(126, 13)","(195, 9)","(203, 71)","(136, 78)",2.146775968797739,-27.339086880813646
0,"(710, 58)","(778, 58)","(777, 122)","(709, 122)",1.7632450726066653,1.3084064300658318
0,"(845, 37)","(920, 34)","(914, 103)","(840, 105)",1.7312609138511044,4.371609151335259
1,"(640, 88)","(667, 92)","(663, 119)","(637, 116)",4.3941716935371815,6.336437885994944
1,"(701, 103)","(727, 107)","(723, 134)","(697, 132)",4.333885590880974,2.7809950215634878
1,"(731, 125)","(757, 127)","(753, 156)","(728, 153)",4.237439048199675,13.981067361912762
1,"(735, 125)","(763, 129)","(757, 158)","(731, 156)",3.99151466667452,1.4029926604458651
1,"(741, 121)","(770, 122)","(767, 153)","(738, 150)",4.0396297271547885,8.097405239723358
1,"(769, 119)","(797, 121)","(793, 151)","(765, 149)",4.062288598355314,1.6623937899237837
1,"(784, 116)","(813, 117)","(810, 148)","(781, 146)",4.033569592272634,9.857421036132687
1,"(755, 96)","(784, 97)","(780, 129)","(751, 128)",3.837403564056066,-2.1489456494355363
1,"(715, 111)","(744, 112)","(741, 142)","(713, 142)",3.9655369302910324,-2.117335945738879
1,"(686, 92)","(714, 93)","(712, 126)","(683, 124)",3.787464981975949,11.587861267660402
1,"(684, 96)","(714, 98)","(711, 130)","(681, 128)",3.825910864346703,8.293812501432813
1,"(698, 83)","(728, 85)","(725, 119)","(694, 117)",3.8106713548181417,5.42307495850422
1,"(691, 78)","(723, 81)","(720, 114)","(688, 112)",3.6810837075811165,4.034172483236393
1,"(670, 76)","(702, 79)","(699, 113)","(667, 112)",3.537339045965119,-1.2051601530973934
1,"(692, 76)","(725, 79)","(721, 113)","(688, 112)",3.4972658749538357,0.2820917744103109
1,"(705, 78)","(738, 81)","(734, 117)","(701, 116)",3.344570604435723,-2.112709027629089
1,"(701, 87)","(737, 89)","(733, 126)","(699, 124)",3.3405567499010558,2.1425632534401653
1,"(690, 76)","(727, 79)","(724, 116)","(688, 116)",3.2151000515577075,0.45876641410119423
1,"(675, 103)","(713, 104)","(711, 144)","(674, 144)",3.0090531877501205,-2.831657557309175
1,"(705, 102)","(743, 103)","(741, 143)","(702, 143)",3.003632356295355,-1.0218200649591482
1,"(705, 102)","(743, 103)","(741, 143)","(702, 143)",3.003632356295355,-1.0218200649591482
1,"(732, 125)","(773, 129)","(770, 172)","(729, 170)",2.7236362161755476,1.147910161932273
1,"(743, 122)","(786, 125)","(783, 170)","(740, 168)",2.6484253454943736,1.2804951559964912
1,"(763, 113)","(809, 115)","(806, 163)","(760, 161)",2.5330677748636776,1.5970090820707135
1,"(762, 127)","(810, 130)","(807, 178)","(760, 176)",2.4485367041197987,2.24295492554835
1,"(791, 107)","(841, 109)","(839, 162)","(789, 162)",2.2709210800571156,-1.3676338703026898
1,"(801, 128)","(854, 129)","(852, 183)","(800, 183)",2.2227907581971533,-0.3703193790988426
1,"(840, 106)","(898, 106)","(897, 167)","(839, 166)",2.0333082487812915,-0.6027390676055527
1,"(884, 130)","(945, 132)","(945, 197)","(882, 194)",1.8856176968296887,0.9346085208316418
3,"(507, 127)","(524, 128)","(523, 145)","(507, 145)",6.8908000450620595,-5.7475830536302475
3,"(512, 128)","(530, 129)","(529, 146)","(512, 145)",6.7741167554146875,0.2652033759078211
3,"(526, 150)","(543, 151)","(542, 169)","(526, 169)",6.456468034008276,-6.996489112833536
3,"(524, 164)","(543, 167)","(542, 185)","(525, 185)",6.031407710580954,-2.413982147883446
3,"(507, 159)","(525, 159)","(525, 178)","(507, 180)",5.8734206120179975,-12.252920210280266
3,"(516, 177)","(535, 178)","(534, 197)","(517, 197)",6.06168636271102,-5.146149355359918
